
state,Survey,Area,Population And Household Profile - Sex Ratio At Birth For Children Born In The Last Five Years (Females Per 1000 Males),Population And Household Profile - Children Under Age 5 Years Whose Birth Was Registered (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Stunted (Height-For-Age) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Wasted (Weight-For-Height) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Severely Wasted (Weight-For-Height) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under 5 Years Who Are Underweight (Weight-For-Age) (%),Child Feeding Practices And Nutritional Status Of Children - Children Under Age 3 Years Breastfed Within One Hour Of Birth (%),Child Feeding Practices And Nutritional Status Of Children - Children Under Age 6 Months Exclusively Breastfed (%),Child Feeding Practices And Nutritional Status Of Children - Breastfeeding Children Age 6-23 Months Receiving An Adequate Diet (%,Child Feeding Practices And Nutritional Status Of Children - Non-Breastfeeding Children Age 6-23 Months Receiving An Adequate Diet (%,Child Feeding Practices And Nutritional Status Of Children - Children Age 6-8 Months Receiving Solid Or Semi-Solid Food And Breastmilk (%),Child Feeding Practices And Nutritional Status Of Children - Total Children Age 6-23 Months Receiving An Adequate Diet (%
Sikkim,NFHS-4,Urban,632,98.6,22.9,13.2,5.7,12,61.7,70.7,19,NA,NA,20.7
Sikkim,NFHS-3,Total,984,85.7,38.3,9.7,3.3,19.7,43.3,37.2,NA,NA,85.4,NA
Tripura,NFHS-4,Total,966,91.6,24.3,16.8,6.3,24.1,44.4,70.7,5.3,NA,13.6,5.9
Tripura,NFHS-4,Rural,925,89.9,26.8,18,6.7,25,46.6,72.9,4.9,NA,18.2,5.5
Tripura,NFHS-4,Urban,1100,96.8,17.2,13.4,5.3,21.7,37.7,63.4,6.5,NA,NA,7.2
Tripura,NFHS-3,Total,959,74.4,35.7,24.6,8.6,39.6,33.1,36.1,NA,NA,NA,NA
Uttarakhand,NFHS-4,Total,888,76.7,33.5,19.5,9,26.6,27.8,51,8.6,7.9,46.7,8.5
Uttarakhand,NFHS-4,Rural,924,74.2,34,19.9,9.7,27.1,28.3,51,7.5,5.7,45.8,7.3
Uttarakhand,NFHS-4,Urban,817,81.8,32.5,18.6,7.4,25.6,26.9,51.2,11.2,11.7,48.6,11.3
Uttarakhand,NFHS-3,Total,912,38.4,44.4,18.8,5.3,38,32.9,31.2,NA,NA,47.8,NA
Andaman and Nicobar Islands,NFHS-4,Total,859,97.9,23.3,18.9,7.5,21.6,41.9,66.8,13.5,17.6,45.1,14.2
Andaman and Nicobar Islands,NFHS-4,Rural,978,98.4,27.7,18.8,9.7,25.6,45.6,75.4,13.6,17.2,54.3,14
Andaman and Nicobar Islands,NFHS-4,Urban,708,97.2,17.1,19.1,4.4,15.9,36.4,NA,13.3,NA,NA,14.3
Andaman and Nicobar Islands,NFHS-3,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chandigarh,NFHS-4,Total,981,95.1,28.7,10.9,3.9,24.5,33.5,NA,0,NA,NA,0
Chandigarh,NFHS-4,Rural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chandigarh,NFHS-4,Urban,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chandigarh,NFHS-3,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dadra and Nagar Haveli,NFHS-4,Total,1013,93.6,41.7,27.6,11.4,38.9,47.8,72.7,0,NA,NA,0
Dadra and Nagar Haveli,NFHS-4,Rural,1308,93.3,46.1,32.2,14.8,47.4,60.3,NA,0,NA,NA,0
Dadra and Nagar Haveli,NFHS-4,Urban,716,94,35.8,21.4,6.7,27.4,30.9,NA,NA,NA,NA,0
Dadra and Nagar Haveli,NFHS-3,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daman and Diu,NFHS-4,Total,923,91.5,23.4,24.1,11.9,26.7,55.8,52.3,6.2,7.4,NA,6.5
Daman and Diu,NFHS-4,Rural,696,98.4,27.1,24.8,10,25.4,60,NA,11.8,NA,NA,12.6
Daman and Diu,NFHS-4,Urban,1043,88.3,21.9,23.8,12.7,27.2,53.9,NA,2.5,NA,NA,3.4
Daman and Diu,NFHS-3,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lakshadweep,NFHS-4,Total,922,99,27,13.8,3.3,23.4,54.3,55,12.2,NA,NA,11.3
Lakshadweep,NFHS-4,Rural,NA,100,25.5,22.5,0,35.5,NA,NA,NA,NA,NA,NA
Lakshadweep,NFHS-4,Urban,932,98.9,27.1,13.2,3.5,22.6,55.8,57.8,12.1,NA,NA,11.2
Lakshadweep,NFHS-3,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puducherry,NFHS-4,Total,843,99,23.7,23.6,7.8,22,65.3,45.5,21.8,54.8,76.8,31.1
Puducherry,NFHS-4,Rural,992,98.7,21.1,17.4,6.4,18.7,53.2,NA,30.9,NA,NA,37.7
Puducherry,NFHS-4,Urban,786,99.2,24.7,26.1,8.3,23.3,70.3,57.4,18.1,57.8,78.3,28
Puducherry,NFHS-3,Total,NA,NA,,,,,,,,,,
